pl_name,ra,dec,pl_orbper,pl_rade,pl_tranmid,pl_trandur,sy_vmag
TOI-178 c,7.3020115,-30.4541159,3.23845000000,1.66900000,2458741.47830000,1.9500000,11.9550000
TOI-178 c,7.3020115,-30.4541159,3.23848600000,1.75400000,,,11.9550000
TOI-178 d,7.3020115,-30.4541159,6.55785130000,2.54474000,2460196.43708800,2.0800000,11.9550000
TOI-178 d,7.3020115,-30.4541159,6.55770000000,2.57200000,2458747.14623000,2.3460000,11.9550000
TOI-178 d,7.3020115,-30.4541159,6.55756900000,2.69500000,,,11.9550000
TOI-178 e,7.3020115,-30.4541159,9.96188100000,2.20700000,2458751.46580000,2.5010000,11.9550000
TOI-178 e,7.3020115,-30.4541159,9.96163468923,2.28073266,2458362.95419900,2.4648052,11.9550000
TOI-178 e,7.3020115,-30.4541159,9.96318000000,2.30100000,,,11.9550000
TOI-178 f,7.3020115,-30.4541159,15.23218427640,2.61967665,2458364.91497700,2.5318138,11.9550000
TOI-178 f,7.3020115,-30.4541159,15.23191500000,2.28700000,2458745.71780000,2.3480000,11.9550000
TOI-178 f,7.3020115,-30.4541159,15.23335000000,2.41700000,,,11.9550000
TOI-178 g,7.3020115,-30.4541159,20.70950000000,2.87000000,2458748.03020000,2.1670000,11.9550000
TOI-178 g,7.3020115,-30.4541159,20.70850400000,3.75100400,2458354.55219000,2.2365240,11.9550000
TOI-178 g,7.3020115,-30.4541159,20.71663000000,2.93900000,,,11.9550000
TOI-1782.01,213.0787718,74.4117909,4.98770562378,2.47030768,2459635.73744400,2.2769107,12.3290000
TOI-1782.01,213.0787718,74.4117909,4.98764102800,2.36800000,2459635.73310000,2.3276000,12.3290000
TOI-1782.01,213.0787718,74.4117909,4.98766500553,2.38276033,2459600.82334311,2.5174004,12.3290000
TOI-1782.02,213.0787718,74.4117909,1.82902939880,2.12683751,2459632.81680800,1.6679098,12.3290000
TOI-1782.02,213.0787718,74.4117909,1.82902422700,1.83900000,2459632.81673000,1.5441000,12.3290000
TOI-1789 b,142.7434060,26.5399951,3.20866400000,16.14093221,2458873.65374000,2.3000000,9.7210000
TOI-1789 b,142.7434060,26.5399951,3.20871490000,12.39210000,2460279.07121300,1.6390000,9.7210000
TOI-1789 b,142.7434060,26.5399951,3.20871830000,,2459383.83993000,,9.7210000
TOI-1794 b,203.3974857,49.0608433,8.76552800000,3.29701268,2458715.31200000,3.9154065,10.3200000
TOI-1794 b,203.3974857,49.0608433,8.76553995732,3.31800869,2458925.68391686,3.8597262,10.3200000
TOI-1794 b,203.3974857,49.0608433,8.76554684874,3.33026651,2458715.31089600,4.0264463,10.3200000
TOI-1798.01,211.0939367,46.5192825,8.02152233100,2.44800000,2459688.13590000,3.1324000,11.3610000
TOI-1798.01,211.0939367,46.5192825,8.02147348949,2.33810581,2458741.60039500,3.2087652,11.3610000
TOI-1798.01,211.0939367,46.5192825,8.02154000000,2.38506569,2458741.59420000,3.1376471,11.3610000
TOI-1798.01,211.0939367,46.5192825,8.02155194258,2.38362109,2458950.15151888,3.1678064,11.3610000
TOI-1798.02,211.0939367,46.5192825,0.43781460000,1.39939037,2458738.63430000,1.2846845,11.3610000
TOI-1798.02,211.0939367,46.5192825,0.43781090000,1.40822000,,1.0590000,11.3610000
TOI-1798.02,211.0939367,46.5192825,0.43780833646,1.37400198,2458739.07484600,1.1404291,11.3610000
TOI-1798.02,211.0939367,46.5192825,0.43781182200,1.46400000,2459691.31350000,1.2152000,11.3610000
TOI-1799 b,167.2329152,34.3030149,7.08573800000,1.42238884,2458904.83180000,3.1409935,8.9800000
TOI-1799 b,167.2329152,34.3030149,7.09457086500,1.64200000,2458904.81760000,2.5704000,8.9800000
TOI-1799 b,167.2329152,34.3030149,7.09385304708,1.62771471,2458904.81577300,2.5107626,8.9800000
TOI-1801 b,175.5755995,23.0270335,10.64398500000,1.96061882,2458903.54800000,2.6991119,11.5800000
TOI-1801 b,175.5755995,23.0270335,10.64387000000,2.07900000,2458903.54351000,,11.5800000
TOI-1801 b,175.5755995,23.0270335,10.64393850000,1.98891000,2459648.61973500,2.7130000,11.5800000
TOI-1803 b,178.0461054,35.1718001,6.29328700000,2.99000000,2458904.62370000,2.5900000,11.8710000
TOI-1803 b,178.0461054,35.1718001,6.29321110000,2.98555000,2459659.81541100,2.1880000,11.8710000
TOI-1803 c,178.0461054,35.1718001,12.88577900000,4.29000000,2458911.67470000,2.4000000,11.8710000
TOI-1803 c,178.0461054,35.1718001,12.88586290000,4.21693000,2459659.05564500,2.0980000,11.8710000
TOI-1806.01,166.1181474,30.4585763,15.15120508799,2.84117990,2458909.54341400,2.3438166,15.1930000
TOI-1806.01,166.1181474,30.4585763,15.14546930000,3.40953670,,2.5830151,15.1930000
TOI-1807 b,201.2826259,38.9223671,0.54937000000,1.53904000,2459664.07054700,0.8830000,10.0000000
TOI-1807 b,201.2826259,38.9223671,0.54937200000,1.25800000,2457000.16600000,0.9720000,10.0000000
TOI-1807 b,201.2826259,38.9223671,0.54937400000,1.37000000,2458899.34490000,0.9800000,10.0000000
TOI-1807 b,201.2826259,38.9223671,0.54937097000,1.49681583,2458899.34500000,0.9772115,10.0000000
TOI-181 b,352.1725409,-34.4914099,4.53205017292,7.43984344,2458358.11826300,2.4927338,11.1910000
TOI-181 b,352.1725409,-34.4914099,4.53200000000,6.95590000,2458358.12000000,1.9900000,11.1910000
TOI-1811 b,188.9223576,27.2143766,3.71307650000,11.14172682,2459126.36846000,1.9510000,11.9660000
TOI-1811 b,188.9223576,27.2143766,3.71307010000,11.72150000,2459661.05029200,1.6540000,11.9660000
TOI-1814 b,236.8168817,77.2326429,6.36846268332,5.14079015,2459653.48878400,6.3480149,11.1820000
TOI-1814 b,236.8168817,77.2326429,6.36861010462,5.18536642,2459430.57481959,6.4190878,11.1820000
TOI-1820 b,187.6867207,27.4520016,4.86067400000,12.77823800,2458903.06380000,2.9200000,10.8990000
TOI-1820 b,187.6867207,27.4520016,4.86067300000,11.42720000,2459661.32832500,2.6320000,10.8990000
TOI-1823 b,196.2197201,63.7532610,38.80000000000,7.54062410,2459645.70502000,5.9233770,10.7280000
TOI-1823 b,196.2197201,63.7532610,38.81354980000,8.20695000,2460345.34856600,5.9440000,10.7280000
TOI-1824 b,197.7312286,61.7448492,22.80857190000,2.45459000,2460362.10353900,3.8470000,9.7210000
TOI-1824 b,197.7312286,61.7448492,22.80853300000,2.74382690,2458879.54670000,4.1100011,9.7210000
TOI-1836 b,245.9079242,54.6900774,20.38084000000,8.56366125,,,9.7650000
TOI-1836 b,245.9079242,54.6900774,20.38084500000,8.28055741,2458933.16603000,6.6245064,9.7650000
TOI-1836 b,245.9079242,54.6900774,20.38078237418,8.22279941,2458933.16722700,6.6590149,9.7650000
TOI-1836 b,245.9079242,54.6900774,20.38079900000,8.00321222,2459646.49351000,6.6530000,9.7650000
TOI-1836 c,245.9079242,54.6900774,1.77274710000,2.59987579,2459739.67000000,1.7866633,9.7650000
TOI-1836 c,245.9079242,54.6900774,1.77275810301,2.75347574,2458929.51801200,1.7650330,9.7650000
TOI-1839 b,196.8331106,5.8520458,1.42380665983,2.68553482,2459690.24164300,1.5009585,10.9000000
TOI-1839 b,196.8331106,5.8520458,1.42378440907,2.21895097,2458938.48301058,1.7875652,10.9000000
TOI-1839 c,196.8331106,5.8520458,4.02393854207,2.40867246,2459690.23538058,2.3034727,10.9000000
TOI-1842 b,201.9626552,9.0306437,9.57395310000,12.49560000,2459680.10343200,4.1720000,9.8150000
TOI-1842 b,201.9626552,9.0306437,9.57390000000,11.65733993,2459402.45750000,4.3000000,9.8150000
TOI-1842 b,201.9626552,9.0306437,9.57400000000,11.88151954,2459325.87100000,,9.8150000
TOI-1842 b,201.9626552,9.0306437,9.57391810000,12.34850230,2458933.33614000,4.3070829,9.8150000
TOI-1846 b,257.9549645,54.5278483,3.93067370000,1.79200000,2459565.95523000,1.4190000,13.9710000
TOI-1846 b,257.9549645,54.5278483,3.93067462793,1.79020058,2459884.34980300,1.4305142,13.9710000
TOI-1853 b,211.4593468,16.9923703,1.24362580000,3.46000000,2459690.74200000,1.1900000,12.1780000
TOI-1853 b,211.4593468,16.9923703,1.24362390000,3.89334000,2459690.74343600,1.2110000,12.1780000
TOI-1855 b,205.3539534,17.6868719,1.36414820000,19.58760000,2459690.63784200,0.9520000,11.1970000
TOI-1855 b,205.3539534,17.6868719,1.36414864000,18.49481816,2459243.19743000,1.1940000,11.1970000
TOI-1859 b,279.8317644,69.5228726,63.48393580000,11.14950000,2460503.68705300,5.4570000,10.3300000
TOI-1859 b,279.8317644,69.5228726,63.48347000000,9.75181321,2458662.65580000,,10.3300000
TOI-1860 b,226.4567308,64.0476821,1.06620820000,1.08830000,2460367.14762100,1.1420000,8.4000000
TOI-1860 b,226.4567308,64.0476821,1.06621070000,1.31000000,2458683.60410000,,8.4000000
TOI-1873 b,212.5684755,84.3718582,7.00568049252,3.10392322,2459583.70828700,3.3182125,11.2150000
TOI-1873 b,212.5684755,84.3718582,7.00572708834,2.86356397,2458834.10049441,3.1364584,11.2150000
TOI-1883 b,134.0892456,-12.9306438,4.50800000000,5.65000000,2459256.84600000,1.9510000,15.7920000
TOI-1883 b,134.0892456,-12.9306438,4.50638000000,5.65000000,2459256.84810000,,15.7920000
TOI-1883 b,134.0892456,-12.9306438,4.50638380838,5.55217343,2459256.84655300,2.0392007,15.7920000
TOI-1898 b,144.5553000,23.5467464,45.52212900000,9.71000000,2458894.25409000,4.3750000,7.8700000
TOI-1898 b,144.5553000,23.5467464,45.52234000000,9.39553231,2458894.25110000,4.2704237,7.8700000
TOI-1898 b,144.5553000,23.5467464,45.52214555606,9.70557571,2459531.56403300,4.3839392,7.8700000
TOI-1899 b,299.4268472,40.1433462,29.02000000000,12.89035000,2458711.95779200,4.6700000,14.8800000
TOI-1899 b,299.4268472,40.1433462,29.09022714766,12.18265167,2459439.21525400,4.6769826,14.8800000
TOI-1899 b,299.4268472,40.1433462,29.09031200000,11.09689089,2458711.95917100,4.7000000,14.8800000
TOI-1937 A b,116.3707214,-52.3832587,0.94667944000,13.97759893,2459085.91023000,1.3770000,13.1800000
TOI-1937 A b,116.3707214,-52.3832587,0.94667870000,14.66610000,2459989.04151700,1.0900000,13.1800000
TOI-198 b,2.2715087,-27.1217452,10.21521300000,1.36000000,,2.2600000,11.6880000
TOI-198 b,2.2715087,-27.1217452,10.21520000000,1.44000000,2459480.04800000,1.6310000,11.6880000
TOI-198 b,2.2715087,-27.1217452,10.21520251255,1.40009506,2458356.37186400,2.3476219,11.6880000
TOI-199 b,80.1058735,-59.8954326,104.85400000000,9.07927437,2458256.12860000,,10.7010000
TOI-199 b,80.1058735,-59.8954326,104.86900000000,10.87271128,2458360.99900000,,10.7010000
TOI-199 b,80.1058735,-59.8954326,104.87242523178,10.05196383,2460877.95104100,6.6885919,10.7010000
TOI-1994 b,147.1745753,-51.7565640,4.03371420000,13.67495645,2458854.37263000,4.0440000,10.5140000
TOI-1994 b,147.1745753,-51.7565640,4.03372010000,11.51590000,2460032.21852100,3.4800000,10.5140000
TOI-2000 b,146.3970631,-66.6866307,3.09836700000,2.47118000,2460038.81987700,1.9630000,10.9840000
TOI-2000 b,146.3970631,-66.6866307,3.09833000000,2.70000000,2458855.24420000,1.9590000,10.9840000
TOI-2000 c,146.3970631,-66.6866307,9.12705500000,8.14000000,2459110.06588000,3.6540000,10.9840000
TOI-2000 c,146.3970631,-66.6866307,9.12705190000,8.34235000,2460086.66077500,3.5490000,10.9840000
TOI-2005 b,164.0316540,-43.3766967,17.30579231771,12.49784019,2459293.99770000,4.1729767,9.8670000
TOI-2005 b,164.0316540,-43.3766967,17.30590400000,11.99360935,2458549.83760000,2.2490000,9.8670000
TOI-201 b,87.4017825,-54.9104230,52.97794600000,11.82547464,,4.7900000,9.0700000
TOI-201 b,87.4017825,-54.9104230,52.97873920259,11.71387106,2460972.00282900,5.1293743,9.0700000
TOI-201 b,87.4017825,-54.9104230,52.97819700000,,2459011.79063000,,9.0700000
TOI-201 b,87.4017825,-54.9104230,52.97860000000,11.40000000,2458376.05210000,,9.0700000
TOI-201 b,87.4017825,-54.9104230,52.97818000000,11.29867200,2458376.05200000,,9.0700000
TOI-201 c,87.4017825,-54.9104230,2890.00000000000,10.40000000,2460062.59000000,,9.0700000
TOI-201 c,87.4017825,-54.9104230,2800.00000000000,11.13051784,2460062.59300000,14.0000000,9.0700000
TOI-201 d,87.4017825,-54.9104230,5.84889000000,1.39000000,2458374.03200000,,9.0700000
TOI-201 d,87.4017825,-54.9104230,5.84923790000,1.18919000,2460175.60247700,3.2570000,9.0700000
TOI-2010 b,292.1669417,53.4873694,141.83402500000,11.81426566,2458712.30168000,8.6810000,9.8490000
TOI-2010 b,292.1669417,53.4873694,1134.67239633331,11.75821955,2459846.97728500,8.6844623,9.8490000
